fips,rural_urban,no_diploma
12041,2,0.146
12043,6,0.255
12045,3,0.145
12047,6,0.27
12049,6,0.228
12051,4,0.337
12053,1,0.121
12055,3,0.143
12057,1,0.113
12059,6,0.213
12061,3,0.106
12063,6,0.195
12065,2,0.18
12067,9,0.247
12069,1,0.105
12071,2,0.116
12073,2,0.065
12075,6,0.151
12077,8,0.186
12079,6,0.19
12081,2,0.103
12083,2,0.124
12085,2,0.09
12086,1,0.186
12087,4,0.086
12089,1,0.087
12091,3,0.076
12093,4,0.228
12095,1,0.115
12097,1,0.133
12099,1,0.115
12101,1,0.105
12103,1,0.087
12105,2,0.15
12107,4,0.182
12109,1,0.052
12111,2,0.137
12113,2,0.087
12115,2,0.069
12117,1,0.057
12119,3,0.079
12121,6,0.177
12123,6,0.212
12125,6,0.235
12127,2,0.095
12129,2,0.123
12131,3,0.109
12133,6,0.187
13000,,0.129
13001,7,0.251
13003,9,0.328
13005,7,0.179
13007,3,0.194
13009,4,0.142
13011,8,0.241
13013,1,0.155
13015,1,0.164
13017,7,0.165
13019,6,0.21
13021,3,0.14
13023,6,0.114
13025,3,0.211
13027,3,0.149
13029,2,0.084
13031,4,0.127
13033,2,0.199
13035,1,0.194
13037,8,0.271
13039,4,0.087
13043,7,0.227
13045,1,0.154
13047,2,0.125
13049,6,0.259
13051,2,0.101
13053,2,0.057
13055,6,0.262
13057,1,0.079
13059,3,0.12
13061,9,0.2
13063,1,0.152
13065,6,0.308
13067,1,0.079
13069,7,0.243
13071,6,0.253
13073,2,0.073
13075,6,0.209
13077,1,0.108
13079,3,0.169
13081,6,0.172
13083,2,0.193
13085,1,0.128
13087,6,0.175
13089,1,0.107
13091,6,0.144
13093,6,0.223
13095,3,0.166
13097,1,0.122
13099,6,0.196
13101,3,0.258
13103,2,0.117
13105,6,0.216
13107,7,0.214
13109,6,0.238
13111,8,0.134
13113,1,0.047
13115,3,0.176
13117,1,0.07
13119,8,0.177
13121,1,0.074
13123,6,0.183
13125,9,0.218
13127,3,0.119
13129,4,0.221
13131,6,0.199
13133,6,0.147
13135,1,0.123
13137,6,0.204
13139,3,0.209
13141,7,0.258
13143,1,0.188
13145,2,0.078
13147,6,0.185
13149,1,0.203
13151,1,0.088
13153,3,0.084
13155,7,0.185
13157,4,0.159
13159,1,0.172
13161,7,0.207
13163,6,0.236
13165,6,0.207
13167,7,0.249
13169,3,0.109
13171,1,0.13
13173,3,0.2
13175,5,0.141
13177,3,0.091
13179,3,0.093
13181,2,0.179
13183,3,0.123
13185,3,0.134
13187,6,0.152
13189,2,0.166
13191,3,0.148
13193,6,0.264
13195,3,0.168
13197,2,0.222
13199,1,0.203
13201,8,0.174
13205,6,0.228
13207,3,0.143
13209,9,0.183
13211,1,0.123
13213,3,0.293
13215,2,0.12
13217,1,0.134
13219,3,0.055
13221,3,0.203
13223,1,0.106
13225,3,0.17
13227,1,0.147
13229,6,0.166
13231,1,0.118
13233,4,0.212
13235,3,0.189
13237,6,0.124
13239,9,0.353
13241,7,0.152
13243,6,0.255
13245,2,0.159
13247,1,0.112
13249,8,0.124
13251,6,0.165
13253,6,0.14
13255,1,0.181
13257,7,0.179
13259,8,0.319
13261,6,0.186
13263,8,0.177
13265,8,0.29
13267,6,0.242
13269,8,0.215
13271,7,0.297
13273,3,0.225
13275,4,0.151
13277,5,0.181
13279,7,0.199
13281,9,0.101
13283,7,0.263
13285,4,0.166
13287,6,0.188
13289,3,0.258
13291,9,0.11
13293,6,0.177
13295,2,0.18
13297,1,0.131
13299,5,0.186
13301,8,0.268
13303,7,0.187
13305,6,0.166
13307,8,0.207
13309,9,0.192
13311,6,0.148
13313,3,0.305
13315,8,0.179
13317,6,0.163
13319,8,0.156
13321,3,0.171
15000,,0.08
15001,5,0.077
15003,2,0.081
