fips,registration_2020,registration_2016
12045,10829,10210
12047,8098,8086
12049,13111,11720
12051,19122,17477
12053,146893,130639
12055,66317,61603
12057,934346,849838
12059,11489,11230
12061,124586,106647
12063,29857,28952
12065,10236,9506
12067,4568,4465
12069,264691,222432
12071,489187,423938
12073,217454,206335
12075,30099,26833
12077,4601,4497
12079,11758,11567
12081,273427,231076
12083,264614,230841
12085,118472,110935
12086,1564297,1379230
12087,56910,54749
12089,72223,61292
12091,150654,135678
12093,22394,20008
12095,866460,776488
12097,239027,196326
12099,1020222,901642
12101,393392,336040
12103,711462,648791
12105,471241,407653
12107,50692,47423
12109,210059,173203
12111,223640,194368
12113,145810,130840
12115,340092,301926
12117,335172,291964
12119,105612,92153
12121,27728,26422
12123,12779,12303
12125,7718,7256
12127,398530,363438
12129,22909,20045
12131,58057,46645
12133,17191,15172
13001,11399,9242
13003,4799,3695
13005,6720,5385
13007,2258,1974
13009,26721,21052
13011,12898,8581
13013,55605,37213
13015,74409,52253
13017,9854,7899
13019,11275,10920
13021,107979,86854
13023,7516,6162
13025,11888,8304
13027,11154,8642
13029,30608,20151
13031,44738,34926
13033,16556,12481
13035,17154,12556
13037,3184,2694
13039,34950,25319
13043,6300,4671
13045,83847,57251
13047,45715,34831
13049,6552,5154
13051,200388,155339
13053,4193,4247
13055,14143,11099
13057,190531,138809
13059,76504,60411
13061,2053,1731
13063,193326,134164
13065,4345,3499
13067,537611,424176
13069,25114,18897
13071,25054,18468
13073,107380,81492
13075,10632,8037
13077,102110,78788
13079,8512,6525
13081,12554,10228
13083,11660,8588
13085,21529,14591
13087,16618,13821
13089,546711,419871
13091,11439,11169
13093,5949,5295
13095,61172,49074
13097,102540,74636
13099,7320,6471
13101,2156,1579
13103,44273,30029
13105,12305,10200
13107,13715,10534
13109,6135,4684
13111,20399,14684
13113,92307,73831
13115,60650,45654
13117,163984,119848
13119,15146,13086
13121,806451,590362
13123,22264,15748
13125,2039,1733
13127,61952,44972
13129,36429,24934
13131,15442,12061
13133,14171,10895
13135,581467,430935
13137,28264,20380
13139,132677,90807
13141,5827,5407
13143,20667,14488
13145,25626,20235
13147,16929,12862
13149,7762,5555
13151,171905,125837
13153,105315,79199
13155,6113,4963
13157,51951,33719
13159,10432,7671
13161,8478,6784
13163,11334,9256
13165,5066,4258
13167,5611,4702
13169,20761,15398
13171,12839,9786
13173,5462,4104
13175,32837,25051
13177,22897,17841
13179,35582,24858
13181,6176,5949
13183,10470,6052
13185,75356,53910
13187,22407,15618
13189,15033,11967
13191,9292,9126
13193,6991,6012
13195,20720,15118
13197,4913,4224
13199,15337,12166
13201,3912,3461
13205,13474,10761
13207,21138,16098
13209,5463,4681
13211,14824,11471
13213,22284,16466
13215,130878,100700
13217,78994,58302
13219,30071,24058
13221,10844,8087
13223,114945,82336
13225,17996,14630
13227,23766,17319
13229,12717,9283
13231,14227,10620
13233,24189,20268
13235,5687,4720
13237,16003,13964
13239,1547,1431
13241,13072,9884
13243,4341,3914
13245,134749,105642
13247,65505,50003
13249,2882,2364
13251,9885,7512
13253,5936,4905
13255,45985,34832
13257,18536,13132
13259,2893,2917
13261,17800,15181
13263,4563,4138
13265,1245,1157
13267,12184,9299
13269,5400,4372
13271,6032,5029
13273,6594,5871
13275,30028,24693
13277,24449,19040
13279,16134,15146
13281,10693,8608
13283,4223,3773
13285,42964,35513
13287,5582,4552
13289,6304,5291
13291,19201,14370
13293,18175,14058
13295,42924,32951
13297,70006,51318
13299,21994,16254
13301,3785,3105
13303,12990,11002
13305,18104,13496
13307,1705,1433
13309,3161,2705
13311,20622,14669
13313,54749,39588
13315,4661,3934
13317,6819,5826
13319,6470,5481
13321,14469,10724
15001,127348,113083
15003,549935,498590
15007,47253,44332
15009,107930,93912
16001,321143,270556
16003,3182,2847
16005,51330,47855
16007,4006,3658
16009,6163,5446
16011,25392,22075
16013,16602,14066
16015,6022,4947
16017,32946,26760
16019,69461,58020
16021,7774,6411
16023,1653,1607
16025,835,747
16027,116448,101407
16029,4402,3986
16031,11834,10876
16033,427,391
16035,5296,5001
16037,3299,3046
16039,13487,11758
16041,8092,6945
16043,7674,7287
16045,12147,10561
16047,7323,6713
16049,11412,10249
16051,17059,14736
16053,10729,9050
16055,103552,88186
16057,27476,26251
16059,5922,5072
16061,2388,2194
16063,2493,2357
16065,24627,22327
16067,9982,9038
16069,26059,22872
16071,3115,2744
16073,6315,5446
16075,14149,12079
16077,3831,3706
16079,7936,7174
16081,7800,6542
16083,45455,41024
16085,8567,6634
16087,6612,5882
17001,44842,47072
17003,5008,5867
17005,10867,12550
17007,33455,32972
17009,3574,3769
17011,23651,24087
17013,3453,3554
17015,10424,11008
17017,7772,7895
17019,127848,134352
17021,21935,22732
17023,11188,12020
17025,9372,9642
17027,26491,25414
17029,30157,30778
17031,3253333,3082719
17033,12586,12983
17035,7599,7930
17037,65009,62119
17039,10853,12374
17041,11940,12041
17043,641503,614752
17045,12355,13273
17047,4433,4311
17049,24465,23755
17051,13499,13336
17053,9359,9586
17055,29195,27697
17057,25766,25869
17059,3809,3838
17061,9117,8652
17063,33656,32626
17065,5615,5779
17067,11974,12370
17069,3078,2937
17071,4680,4865
17073,35273,36454
17075,17887,18345
17077,31693,41829
17079,6919,6912
17081,24196,24171
17083,15587,16115
17085,16537,16207
17087,8576,8539
17089,318506,300293
17091,67051,64829
17093,84165,75755
17095,33379,34031
17097,487186,430436
17099,73034,70850
17101,9122,9375
17103,22291,22919
17105,22044,22570
17107,18980,19235
17109,17771,18782
17111,237640,218178
17113,115886,112198
17115,72049,76226
17117,31892,31700
17119,186358,182063
17121,25034,24915
17123,8289,8266
17125,9204,10005
17127,11070,11801
17129,9371,9232
17131,12694,12081
17133,26961,24890
17135,16496,17899
17137,22037,22984
17139,8657,8642
17141,31786,33627
17143,117380,118746
17145,14700,14342
17147,12391,11743
17149,10692,11909
17151,3014,2983
17153,4524,4398
17155,4191,4260
17157,20876,21376
17159,11028,11311
17161,90615,100163
17163,193473,184932
17165,16063,16679
17167,140667,136312
17169,5147,5486
17171,3551,3790
17173,14997,15175
17175,3988,4171
17177,33376,34165
17179,94022,90769
17181,12907,12685
17183,46303,47963
17185,7780,8647
17187,11872,11373
17189,9971,9759
17191,11193,12148
17193,10010,10690
17195,38436,37759
17197,463465,417813
17199,47393,45930
17201,183378,175630
17203,27214,26862
18001,19780,19482
18003,267870,276407
18005,53417,55494
18007,6015,6129
18009,8213,8976
18011,53840,49294
18013,12622,12955
18015,14009,14338
18017,22589,22012
18019,94856,94446
18021,18717,19581
18023,20140,20529
18025,7855,9286
18027,17927,19449
18029,39758,39926
18031,17451,15950
18033,29438,30441
18035,83661,91038
18037,30849,30878
18039,125927,134922
18041,16343,17607
18043,62222,61175
18045,11630,12784
18047,17299,18784
18049,13255,13374
18051,23561,24646
18053,45509,49440
18055,20365,21708
18057,260082,230786
18059,58438,56315
18061,29654,28754
18063,124726,109903
18065,31081,31363
18067,60903,63952
18069,25378,25859
18071,28642,30531
18073,22800,23582
18075,12534,12632
18077,22196,22004
18079,18540,19063
18081,111427,107546
18083,24682,26927
18085,54499,54154
18087,16402,16522
18089,371171,364293
18091,79763,83837
18093,32555,33367
18095,91258,97563
18097,670086,699709
18099,29629,30300
18101,7663,7917
18103,22424,23197
18105,100527,112228
18107,25157,24363
18109,52421,51542
18111,10250,11348
18113,29845,31028
18115,4936,4927
18117,13784,15736
18119,14627,14851
18121,10583,12221
18123,12825,12846
18125,9040,9413
18127,132035,126944
18129,18315,19229
18131,8988,9609
18133,24823,25270
18135,16825,17956
18137,21040,22190
18139,11228,11846
18141,197179,212720
18143,17184,19757
18145,30314,29608
18147,15240,16067
18149,17225,18112
18151,24645,23107
18153,14059,14906
18155,7049,7460
18157,119355,113548
18159,11656,12640
18161,5273,5913
18163,130933,139519
18165,10386,10246
18167,73418,79517
18169,21337,22833
18171,6300,6287
18173,48001,49679
18175,19424,19986
18177,44057,43365
18179,19010,19278
18181,16901,17356
18183,23862,22665
19001,5471,5303
19003,2876,2930
19005,10139,10092
19007,9073,9155
19009,4339,4453
19011,18387,18287
19013,89940,89219
19015,20105,19404
19017,18195,17658
19019,14228,14177
19021,12613,12469
19023,10260,10123
19025,6778,6823
19027,14886,15075
19029,9948,10055
19031,13083,12337
19033,31801,32143
19035,8374,8756
19037,8665,9052
19039,6243,6134
19041,12067,12304
19043,12198,12191
19045,34332,34251
19047,10135,10042
19049,68267,57236
19051,5253,5249
19053,5150,4916
19055,12285,11842
19057,28724,28554
19059,14500,13419
19061,72081,69589
19063,6854,7429
19065,12722,12496
19067,11286,11189
19069,6681,6885
19071,5276,5466
19073,6673,6817
19075,9068,9066
19077,8270,8046
19079,10384,10515
19081,7941,8069
19083,11911,12011
19085,9362,8591
19087,13900,14463
19089,6383,6396
19091,6706,6710
19093,5027,5158
19095,12461,12331
19097,14930,14996
19099,26703,26305
19101,11758,11430
19103,113818,111292
19105,14105,13697
19107,6941,7073
19109,11414,11343
19111,23758,24181
19113,160771,154386
19115,7330,7473
19117,6076,6016
19119,8689,8518
19121,12194,11600
19123,15199,15018
19125,24760,24504
19127,25125,26117
19129,11003,11155
19131,7439,7375
19133,6347,6460
19135,5211,5105
19137,7482,7429
19139,29422,29223
19141,9923,10053
